Flagstaff AZ,12.1448137862,4.2446172206,4.9128336229,1.6168967691,1.176681441,1.7546190515,2.1508342937,1.2079511559,5.1309490051,3.3328745007,0.5946401693,1.1810020103,1.7909810721,4.0589361239,4.8457877763,2.489054248,4.1149352962,1.2292705722,2.1909582703,2.154551128,5.5487588198,3.2619877243,2.8193038475,1.7786698307,4.0509959059,1.7694377055,1183.6413367171,446887.107122039,4.1632075883,1634.3353681794,,77.4579325091,84.8136704976,162.2716030066,37.8117976095,32.3381691064,2.8023254784,102.076827919,109.1942091644,113.719599428,10.1333636193,284.7740978266,4.1649609398,8.2185982692,5.3218700746,14.2885914936,25.727717375,2.3923939904,1.1564788102,11.1450859761,30.3096005292,22.6232185889,27.9776459591,76.6213610713,18.8699842338,9.4235606113,4.2977702989,3.4914701488,45.0573091259,8.9346627264,12.671604331
Bullhead City AZ,11.5275,3.9375,4.2625,1.3175,0.9325,1.7725,2.1925,1.055,3.86,2.9125,0.58,1.14,1.5375,3.4775,4.51,2.225,3.645,1.02,2.2,1.905,5.1825,2.8175,2.39,1.24,3.0475,1.6775,582.835,294510.25,3.9049596873,1042.4365348961,,66.92856125,71.5513885553,138.4799498053,19.99,31.33,2.92275,103,102.915,96.9175,8.715,258.865,3.965,8.1225,3.79,10.4175,23.795,2.5825,0.9125,11.75,31.58,30.08,34.4975,66.9025,10.109375,9.63,4.4375,2.455,58.25,8.2975,7.6675
Lake Havasu City AZ,11.1805364097,4.1640483272,4.1748908577,1.3571124081,1.0115963017,1.757284634,2.1055881992,0.9919246909,4.1080148717,2.8177323605,0.5777766837,1.1985128629,1.5241334552,3.6848971007,4.5950908597,2.529531359,3.5112566337,1.0346327974,2.4347563515,1.944672771,5.5891539328,2.7221747901,2.3541642694,1.0567648204,3.6145552175,1.5817783131,777.8408060792,361110.587396963,4.0046155928,1294.1811583711,160.2394553559,,,160.2394553559,32.7030653237,37.3725681775,2.8468595749,106.9343555253,113.2662263194,95.0227125277,9.3159077244,314.815006651,3.6963241406,8.36472978,3.9565029397,13.4359672215,32.8072200534,2.7176840011,0.8455743944,13.4937705773,21.2708198616,19.9564295624,21.9729890495,79.7185629888,10.5048900999,8.0096579007,4.7678943184,2.1880744108,54.826862515,8.5311514377,7.1012323722
Phoenix AZ,10.96,4.6475,4.365,1.9825,1.105,1.78,2.09,0.9875,3.965,3.0425,0.5875,1.1925,1.935,3.715,4.68,2.3175,3.6825,1.04,1.3825,1.565,4.93,2.8425,2.3775,1.155,2.94,1.5475,865.8,290960,4.2028849011,1067.9112593104,192.3554229494,,,192.3554229494,19.99,33.4975,2.76225,84.5,98.375,99,7.95,264.7475,3.8425,9.495,3.1875,13.25,27.5,1.5125,0.89,14,22.32,12.6725,25.99,67.5,24,9.6875,4.7825,2.095,45.5,8.1575,5.39
Prescott-Prescott Valley AZ,10.6175,3.8,4.415,1.365,0.92,1.71,2.06,1.1075,4.23,3.3875,0.5625,1.1425,1.53,3.1425,4.7925,2.2425,3.575,0.9825,2.4425,1.805,5.1675,2.8625,2.16,1.2675,3.11,1.4325,897.525,329557,4.0216768363,1183.9407605432,,76.4531382528,87.0401295335,163.4932677863,25.125,31.515,2.765,99.545,94.7125,85.6125,8.8925,299.015,3.99,8.33,3.5025,12.635,25.61,2.1125,0.915,13.84,23.1725,22.915,29.5375,67.25,13.9533333333,8.4375,3.25,2.2425,45.8825,8.8375,6.5675
Sierra Vista AZ,10.77,4.205,4.3425,1.35,0.84,1.675,2.1125,1.08,4.4,3.1,0.5675,1.335,1.4925,3.055,4.5225,2.2725,3.825,0.9925,2.475,1.6525,4.4625,2.9175,2.1175,1.0575,3.115,1.5575,877.6425,285808.75,4.14125,1041.1818512812,,105.5533913717,73.9291200326,179.4825114043,28.74,33.1875,2.7535,88.7075,96.1,86.925,9.23,277.205,3.455,9.2425,3.505,11.49,30,1.9075,0.92,11.3625,30.47,26.4875,31.12,67.2525,13.25,8.0025,3.45,2.465,50.9075,9,6.51
Tucson AZ,11.29,4.335,4.475,1.3575,0.9275,1.7175,2.08,1.1425,4.5325,2.7625,0.575,1.18,1.4225,3.305,4.83,2.2675,3.7475,1.0725,2.605,1.8375,4.865,2.855,2.3275,1.155,3.385,1.5125,844.075,252324,4.0310032732,907.4679910572,,103.2607228643,63.9107240326,167.171446897,23.5125,38.505,2.51525,90.85,129.2,88.6,9.3275,297.3525,3.38,9.7425,3.115,15.0325,43.6175,2.4,0.9725,12.7375,34.04,24.9025,32.8825,68.085,22.125,9.6375,3.86,2.5975,49.6,8.3975,7.505
Yuma AZ,10.6825,4.3775,4.8175,1.5225,1.44,1.835,2.435,1.415,4.495,2.5125,0.5975,1.17,1.485,3.7025,4.7725,2.4775,4.315,1.3225,2.4875,2.065,5.2675,3.0725,3.0775,1.69,3.435,1.7925,778.265,274275,4.165371364,1002.0674091719,209.8003695902,,,209.8003695902,32.51,31.0825,2.70925,91.35,116.1875,80.8,9.1825,252.165,4.29,10.4825,4.46,11.395,27.9525,3.3975,1.01,11.8675,34.3075,21.4525,39.5625,72.445,19.6666666667,8.25,3.3125,2.315,42.9,9.33,9.29
Fayetteville AR,10.6625,4.18,3.79,1.09,1.1475,2.31,2.12,0.8725,3.79,3.5275,0.555,1.445,1.445,3.5475,4.0425,1.9975,2.98,0.9,2.335,1.575,5.125,2.5075,2.5475,0.97,3,1.445,643.875,250717,3.9861711331,896.3572667021,,78.7653396942,79.4121701402,158.1775098344,33.4,37.465,2.42325,95.125,91.725,77.805,8.1225,305.2975,3.71,9.7175,3.4125,12.5225,32.9475,2.2775,0.83,11.9425,15.31,13.6275,18.855,73.6875,28,9.4475,2.855,2.1025,45.7025,8.885,7.86
Hot Springs AR,11.9475,4.2725,4.3725,1.3225,0.9725,2.4475,2.1075,0.9175,3.79,2.7425,0.5925,1.48,1.28,3.365,4.235,2.435,3.23,1.0525,2.62,1.915,5.2,2.5875,2.61,1.2975,3.0825,1.6625,623,252296.25,3.9404166667,897.2609111384,,90.1931965358,60.092850833,150.2860473688,34.27,28.7075,2.517,122.625,98.125,75.8325,8.81,257.565,4.025,9.1625,2.7075,15.8125,29.4225,1.9875,1.0025,8.19,49.5,21.7325,34.055,83.125,21.6666666667,9.75,3.8,2.25,39.2275,8.55,12.145
Jonesboro AR,11.1725,3.87,4.1725,1.1725,0.9125,2.165,1.9725,0.9925,3.7475,2.8125,0.545,1.3375,1.2875,3.4875,4.3225,2.015,3.5425,0.9825,2.6475,1.8525,4.7875,2.4775,2.27,1.235,3.03,1.59,698.75,244034.5,3.941671075,867.5335751787,,67.3107467789,70.1075543202,137.4183010991,30.8975,29.7425,2.4125,71.67,98.4175,67.335,8.17,285.79,3.94,9.3675,2.9,12.915,23.33,1.855,0.815,11.93,21.24,13.385,22.5325,61.25,17.1327083333,9.375,3.91,2.4125,54.5,8.66,10.8075
Conway AR,10.9744393927,3.9979017625,3.9460674787,1.3458123084,0.9031511195,2.5737198835,2.106703874,1.0460401831,3.9261695858,3.8062833077,0.4915973664,1.2270218507,1.2916049918,3.9884455921,4.1636863892,2.6115113253,3.1841797022,0.9968440845,2.6648364646,1.7055047676,6.3303859772,2.5697120956,2.6402560375,1.0718549773,3.4558763318,1.6802313826,678.4929707775,262365.48938984,4.0060051686,940.7031083182,,69.0634722995,67.1676227378,136.2310950373,27.9543985469,39.968426824,2.4260617733,98.7595270073,91.4455474758,69.3403626011,10.8515215072,310.5153101804,3.7665914928,8.9105594811,2.8628890852,14.7847922663,33.1031073038,2.3752902921,2.5090311238,7.6405244384,23.2578860673,25.8955421017,34.8914719092,99.3985200134,12.255678666,8.8500249618,3.8529502891,3.9398767728,98.0036271429,8.4562991243,9.5252139384
Little Rock-North Little Rock AR,11.13,4.1525,3.93,1.1625,0.96,2.0625,1.9525,0.945,3.8625,2.825,0.5725,1.28,1.39,3.4,4.3175,1.86,3.465,1.0175,2.69,1.895,4.7725,2.5,2.2375,1.3475,3.2475,1.6275,788.7325,291287.5,4.0887634298,1054.7129980485,,93.7551290166,63.478112585,157.2332416017,40.3825,32.125,2.58175,83.8125,91.645,64.8325,8.225,297.535,3.9125,8.6175,2.2475,15.25,39.85,1.96,0.8725,10.0425,28.7875,24.68,32.4675,67.8125,28,9.545,3.9825,3.57,42.875,8.84,11.27
Orange County CA,11.1975,4.4475,4.825,1.4775,1.11,2.4975,3.4325,1.01,4.5,3.155,0.69,1.4225,1.4275,3.475,5.275,2.65,4.29,1.4,3.19,2.21,5.4675,3.6,2.3825,1.3475,3.1675,1.88,1970.9175,803732,3.9799644656,2872.6221266338,,139.2585594001,59.878834515,199.1373939151,33.5,43.5075,3.622,102.305,96.1425,103.6,11.9525,309.475,4.18,9.5,3.865,19.3675,59.69,2.7075,1.11,12.135,25.9925,24.7875,28.1725,45.4,27.1916666667,12.605,5.835,2.4075,54,9.555,5.5725
Bakersfield CA,10.06,4.3525,4.705,1.355,1.0925,2.2875,3.0875,1.1575,4.46,3.565,0.625,1.49,1.81,3.86,5.1975,2.8225,3.985,1.315,2.6075,1.995,5.1025,3.2925,2.5925,1.5775,2.835,1.625,801.5625,338120.25,4.0133301093,1212.6442948909,,169.9877504783,76.0312126917,246.01896317,25.73,37.8275,3.35925,94.5,101.98,98.6675,11.4325,292.87,4.065,9.105,3.7775,12.4175,45.8325,2.995,1.11,14.5225,22.5525,23.6775,22.92,78.33,12.99,8.8325,5.0875,3.815,41.6575,8.5225,5.2525
Fresno CA,9.5468502525,3.8883751877,4.3942106927,1.6433587585,1.0960709394,2.46922217,2.2020427579,1.0427484018,4.8209600353,1.8251927245,0.5895814703,1.1307097949,1.748520474,3.8915362088,4.4468906689,2.1576486995,3.4904380836,1.267504586,2.7472616015,2.6289594533,5.1595770369,2.7791614978,2.6508429805,1.2030401477,3.3975797674,1.6537178572,978.5917536335,307209.551642857,3.9964711796,1099.9428441815,,174.1834327701,77.7177100404,251.9011428105,31.0902712092,35.4930258037,2.9873217382,116.9200305497,91.5082942589,90.4843845187,11.4876947092,305.2745241683,3.9332546065,10.1156233447,3.5962811299,11.7923355424,42.0634409662,2.6364472698,1.0293769493,12.2195295646,40.5626034272,27.3026545194,35.7169101565,71.0380812061,15.5677678197,11.1305860253,6.9342374712,2.4407972156,44.8015035258,8.1694536751,6.2977436031
Los Angeles-Long Beach CA,11.0325,4.2,4.825,1.535,1.095,2.42,3.1575,1.01,4.5,2.9475,0.69,1.4225,1.4675,3.4875,5.095,2.555,3.9475,1.4,3.215,2.22,5.2775,3.615,2.3825,1.37,3.0475,1.8675,2390.8475,610526.75,3.9601157057,2176.1047855797,,128.2712293131,60.0542909972,188.3255203103,33.5,39.2225,3.596,122.735,98.035,106.4125,11.91,310.505,4.075,8.995,3.835,18.355,60.93,2.7125,1.0975,13.015,26.4325,24.685,29.33,48.685,22.7175,14.285,6.505,2.3875,54.735,9.53,5.865
Modesto CA,10.0160209779,4.3565819845,4.4059095064,1.4641929612,0.9232810303,2.5160576733,2.7730315405,1.0691693688,4.3876946266,2.7758729727,0.6238578922,1.5362913338,1.416801605,3.3461054714,4.9514763156,2.5521357343,3.7830821224,1.2928061302,2.4532119751,1.9101887074,5.5303292159,3.3174869282,2.5755603672,1.6339921421,3.1367701769,1.6721519997,1102.5391722127,368372.745845134,3.9418076758,1310.8165867366,,188.4299083999,40.5391181863,228.9690265862,23.0136211293,43.1461861407,3.1184781714,123.9798156072,97.182818503,103.6822168655,10.5524775799,302.9613148893,4.0153562154,11.0001470675,3.770634405,14.1244048784,40.01425073,2.2566962178,1.0585402005,13.557562871,25.1294895326,19.6117738796,26.0905264295,76.5368604103,8.4972705418,8.8124126584,5.9428539163,2.1001143771,46.491418903,8.5877263688,4.7724992408
Oakland CA,11.46,3.935,5.9725,2.3925,1.51,2.755,3.68,1.135,5.99,3.895,0.79,1.99,1.7375,4.785,5.975,3.6475,4.675,1.76,2.47,2.445,5.8,4.17,2.83,2.42,3.755,1.9625,1897.96,733753.5,3.9334335402,2607.1946048211,,128.4374471489,73.8183315935,202.2557787424,24.33,39.21,3.2675,116.045,123.945,113.39,11.8275,263.585,4.165,9.9825,4.2125,15.9475,54.065,3.0225,1.0875,11.975,34.8475,25.66,34.9725,60.75,21.5908333333,11.1325,5.3475,3.115,53.16,9.58,6.9275
Sacramento CA,11.2338788282,4.2954741991,4.8556495814,1.9512645486,0.9112662718,2.7996901065,3.2152171028,1.6707613783,6.0655159068,3.5040602724,0.6866695716,1.7530750423,2.0803419775,3.4802857659,6.7767733271,2.7037341221,4.7808934037,1.2265637509,2.65153615,1.9342636164,6.0435162804,4.119313518,2.1771208792,1.7347037825,4.0421452273,1.2474701488,1565.752491719,396387.251207015,3.9653071128,1413.6696242129,,98.9378873333,38.0502110727,136.988098406,20.3978656282,37.3123110223,3.3243542863,108.1825712406,91.9512909069,86.8437367935,10.7907251799,313.4410238881,4.1824509781,12.570313259,3.5368842495,17.058498097,42.0612031938,2.9804592747,1.4056056906,13.7324371246,30.9905782187,24.1381357484,30.7932643049,63.2900440032,25.6236079274,10.0368800205,5.1422865079,2.9690823637,45.7077843123,8.670789205,5.2792154627
San Diego CA,11.1975,4.405,4.825,1.46,1.095,2.4525,3.31,1.03,4.4825,3.115,0.69,1.4225,1.5825,3.5425,5.18,2.455,4.2225,1.38,3.35,2.32,5.2725,3.475,2.395,1.3525,3.23,1.8625,1905.54,731465.25,3.9609119708,2607.4270974942,,158.0831987965,53.8018518666,211.8850506632,33.5,38.25,3.55775,103.625,107.435,105.4375,12.6325,308.58,4.365,8.245,4.04,18.81,55.735,2.59,1.1225,12.85,26.3875,23.76,30.965,46.05,25.9702083333,12.44,5.29,2.4775,51.27,9.6475,5.91
San Francisco CA,11.195,4.01,5.93,1.965,1.425,2.77,3.4625,1.1225,5.995,3.795,0.79,1.685,1.815,4.535,5.975,3.51,4.675,1.63,2.5475,2.685,5.725,3.795,2.9525,2.465,3.53,1.9725,3193.9225,968148.25,3.9724507501,3455.1722042036,,132.551533495,73.8037344401,206.3552679352,24.12,44.585,3.35075,120.6125,125.42,119.55,11.9425,266.055,4.455,9.75,4.205,18.4075,61.295,3.0825,1.11,13.3925,36.6325,27.205,40.685,64.2925,25.35,11.425,6.4725,3.1475,57.4025,9.81,7.4075
Stockton CA,11.12,4.7,5.2175,1.62,1.26,2.765,3.3125,1.0525,5.83,3.3225,0.6775,1.89,1.9275,3.4875,5.54,2.79,4.7075,1.525,2.6675,2.095,5.82,3.615,3.1475,1.87,3.31,1.725,1089.425,361727,3.9088079786,1281.0787466527,,187.5806679021,40.6886331566,228.2693010586,24.145,42.0575,3.247,125.1175,96.1625,84.8825,11.3925,311.395,3.89,12.5275,3.725,14.9375,36.4,2.855,1.1975,13.69,27.6425,22.675,30.2325,65.695,20.7291666667,10.365,4.1125,2.6725,32.395,8.6975,6.46
Tracy CA,10.3839254781,4.3791054801,5.4516185171,1.7228682237,1.1945717959,2.7799568903,3.3628675891,1.0820607802,5.6118394047,3.3950721302,0.6698166872,1.8954420582,1.982727181,3.7075344569,5.8151137212,2.6433919044,4.8067916034,1.6932676805,2.6759758847,2.0721559421,5.9041285674,3.4460097346,2.4362277452,1.4709449012,3.4531429635,1.6993561143,1321.4864839899,547273.684286332,3.8499563765,1924.5745503198,,187.1937993351,40.5554664071,227.7492657422,23.2207111488,35.900209329,3.1945501184,126.8479450032,90.7281336413,92.3561944193,11.2488854127,320.3474922717,3.9466154966,13.4505004318,3.7551625994,17.042079973,43.4562769053,2.6303915472,1.9337480337,9.0136377579,24.6423357929,22.5103392035,26.7750268289,59.4033683537,23.763335985,10.275055271,4.0150688997,2.711352221,50.1402675529,8.8431485269,6.3390672707
Truckee-Nevada County CA,11.0319533279,4.9242257437,4.9862966883,1.7476563788,1.2371863232,2.7002011059,4.3384787151,1.1090957648,6.0811200312,3.6198983804,0.6583102709,1.9479844916,2.6624953383,4.7875224625,6.0115715558,2.9705519647,4.3662663141,1.8408576981,2.7596666578,2.7171864419,6.3601197766,3.4124483483,3.7239840604,1.8774676231,4.2412723315,1.9284337013,1295.3765595938,843087.186106621,3.9179307231,2988.3497607623,,114.4194817805,133.6937935232,248.1132753037,33.3537567295,38.5394331286,4.1571902018,120.1921365442,112.087418288,121.5813801408,11.9702495977,325.0721942806,4.2278019163,16.0972284111,3.0233611672,16.1911005572,50.5893457717,3.8842927518,1.3059428625,15.1474082899,22.6239607838,19.4343545341,26.6737682086,90.1078964586,18.9131706934,11.0486371495,3.2850976964,2.8183269847,55.5499018637,9.1362886605,12.7174389489
Colorado Springs CO,10.995,5.08,4.41,1.13,1.055,1.865,2.205,0.99,4.12,2.41,0.5575,1.17,1.475,3.2225,4.6775,2.3175,3.46,1.095,2.005,1.67,4.89,3.0775,2.19,1.19,3.05,1.5,1022.55,294225.5,4.1472909605,1072.4092605387,,76.7967185,56.5512392183,133.3479577183,27.64,40.0225,2.442,103.715,114.35,90.35,9.0575,288.95,4.09,8.095,3.825,13.35,36.05,2.75,0.9025,9.585,27.635,21.73,25.9625,60.53,15.4508333333,9.7375,3.345,3.215,49.6,8.08,6.9125
Denver CO,10.8725,5.0675,4.39,1.4475,1.2525,2.0175,2.38,0.9875,4.0375,2.4075,0.58,1.21,1.5125,3.9725,5.4375,2.7225,3.4475,1.005,1.4875,1.7975,5.2575,3.2425,2.3275,1.4975,3.0875,1.575,1285.6775,392918,4.0008943966,1407.2657905382,,93.4118365333,62.2356859932,155.6475225265,28.34,38.5775,2.62525,101.315,124.3925,95.4375,9.1925,293.225,4.2575,8.495,3.7775,16.755,35.6275,3.015,1.0875,14.4725,29.8225,19.775,31.1675,68.465,23.8333333333,11.1625,6.0375,2.28,54.1575,8.4475,6.705
Grand Junction CO,11.4561242557,4.5843531425,4.5573116294,1.2171124081,0.9589434643,1.9660212992,2.3202205442,1.2269246909,3.979611367,2.2495424141,0.5728150168,1.2378506019,1.2304687063,3.7147322733,4.7775939861,2.2962320407,3.7671024449,1.0496914983,2.5732929978,1.8446746409,4.8021500606,3.1528225577,2.3325664194,1.2580571902,3.1143388788,1.4691115962,925.2756779858,312378.680526991,4.0845988841,1130.0895805342,,84.2289008517,56.2016369707,140.4305378224,25.9226077493,33.1229778867,2.6268614858,106.4969885526,136.587295828,83.5074723463,9.4856553403,283.7401530452,4.2574724263,9.376815389,4.234086711,16.9544347532,26.3007980658,2.1599929511,0.9825492292,11.9444627354,24.2260833418,19.6657633154,23.8668588609,55.8856370572,16.6196993803,11.2588711599,4.5200929404,2.6344818768,40.9451468863,8.1718555127,8.3516467248
Pueblo CO,10.9025,4.2,4.2875,1.2025,1.0925,2.1375,2.1575,1.0625,4.325,2.2625,0.5575,1.12,1.645,3.47,4.59,2.395,3.5475,1.0425,2.1225,1.9025,4.81,2.85,2.4825,1.185,2.8075,1.4675,802.1675,203272.75,3.9797402296,726.7590807414,,77.5428453333,57.7380441969,135.2808895302,25.485,32.0175,2.5535,85.9775,107.345,83.2075,8.8425,274.335,3.565,8.14,3.89,13.33,26.855,2.31,0.8925,10.425,23.3425,16.4,26.365,63.25,13.96625,9.5125,3.095,2.295,41.38,8.28,10.0125
Glenwood Springs CO,12.6775,4.14,4.405,1.54,1.0675,2.0275,2.315,0.99,4.5775,2.7025,0.59,1.1775,1.4775,3.6475,4.8275,2.9025,3.44,1.1125,2.6525,2.04,5.5275,3.04,2.4425,1.2525,3.01,1.655,1301.5625,473944.5,4.12625,1722.8874013037,,63.8099551667,90.3711756395,154.1811308062,21.67,30.5275,3.10425,158.625,120,104.125,10.035,312.3425,4.315,10,4.295,17.75,43.75,2.89,1.1425,15.5,30.995,22.1575,29.9925,85,15.8316666667,10.125,4.75,2.615,58.345,9.14,8.115
